#TIMESTAMP,TIMESTAMP,SECURITY_ID,INTERVAL_VWAP,INTERVAL_TWAP,INTERVAL_HIGH,INTERVAL_LOW,INTERVAL_OPEN,INTERVAL_CLOSE,INTERVAL_VOLUME,INTERVAL_TRADE_COUNT,AVG_SPREAD,VOLATILITY,TRADE_VENUE,TRADE_CURRENCY,CloudDB,PRIMARY_MIC,QueryID,STARTDATETIME,ENDDATETIME,TimeZone,EXPIRATION_DATE,NAME,CONTRACT_SIZE,CONTRACT_UNITS,6A\U20,TABLE
1588883400000000000,1588883400000,6A\U20,0.648467,0.648492,0.649000,0.648300,0.649000,0.648300,9,5,0.000609,0.000000,XCME,USD,CME,XCME,Q1234,2020-05-07T13:30:00.000000000,2020-05-07T15:30:00.000000000,America/Chicago,20200914,Australian Dollar Future Sep20,100000.000000,AUD,6A\U20,TABLE
1588883400000000000,1588883400000,6C\U20,0.715950,0.715950,0.715950,0.715950,0.715950,0.715950,1,1,0.000173,0.000000,XCME,USD,CME,XCME,Q1234,2020-05-07T13:30:00.000000000,2020-05-07T15:30:00.000000000,America/Chicago,20200915,Canadian Dollar Future Sep20,100000.000000,CAD,6C\U20,TABLE
1588885200000000000,1588885200000,6M\U20,0.040810,0.040810,0.040810,0.040810,0.040810,0.040810,1,1,0.000097,0.000000,XCME,USD,CME,XCME,Q1234,2020-05-07T13:30:00.000000000,2020-05-07T16:00:00.000000000,America/Chicago,20200914,Mexican Peso Future Sep20,500000.000000,MXN,6M\U20,TABLE
1588879800000000000,1588879800000,6E\U20,1.085667,1.085877,1.086050,1.085450,1.086050,1.085850,15,12,0.000160,0.000000,XCME,USD,CME,XCME,Q1234,2020-05-07T13:30:00.000000000,2020-05-07T14:30:00.000000000,America/Chicago,20200914,Euro FX Future Sep20,125000.000000,EUR,6E\U20,TABLE
1588885200000000000,1588885200000,6J\U20,0.009425,0.009430,0.009432,0.009423,0.009423,0.009432,10,4,0.000002,0.000000,XCME,USD,CME,XCME,Q1234,2020-05-07T11:30:00.000000000,2020-05-07T16:00:00.000000000,America/Chicago,20200914,Japanese Yen Future Sep20,12500000.000000,JPY,6J\U20,TABLE
1588883400000000000,1588883400000,6B\U20,1.231824,1.233114,1.237700,1.228000,1.228000,1.237400,17,7,0.000441,0.000000,XCME,USD,CME,XCME,Q1234,2020-05-07T09:30:00.000000000,2020-05-07T15:30:00.000000000,America/Chicago,20200914,British Pound Future Sep20,62500.000000,GBP,6B\U20,TABLE
1588876200000000000,1588876200000,6S\U20,1.028400,1.028400,1.028400,1.028400,1.028400,1.028400,3,1,0.000283,0.000000,XCME,USD,CME,XCME,Q1234,2020-05-07T08:30:00.000000000,2020-05-07T13:30:00.000000000,America/Chicago,20200914,Swiss Franc Future Sep20,125000.000000,CHF,6S\U20,TABLE
1590726600000000000,1590726600000,6N\U20,0.619822,0.620701,0.622300,0.619200,0.622300,0.620200,18,18,0.000243,0.000008,XCME,USD,CME,XCME,Q1234,2020-05-28T10:30:00.000000000,2020-05-28T23:30:00.000000000,America/Chicago,20200914,New Zealand Dollar Future Sep20,100000.000000,NZD,6N\U20,TABLE
1590071400000000000,1590071400000,PL\M20,897.314286,906.959982,913.400000,879.100000,913.400000,879.100000,7,7,6.174721,0.000000,XCME,USD,CME,XCME,Q1234,2020-05-21T01:00:00.000000000,2020-05-21T09:30:00.000000000,America/Chicago,20200626,Platinum Future Jun20,50.000000,Troy Ounces,PL\M20,TABLE
1594139400000000000,1594139400000,ZL\U20,28.829102,28.830816,28.890000,28.790000,28.860000,28.890000,802,368,0.014687,0.000371,XCME,USD,CME,XCME,Q1234,2020-07-07T10:30:00.000000000,2020-07-07T11:30:00.000000000,America/Chicago,20200914,Soybean Oil Future Sep20,60000.000000,Pounds,ZL\U20,TABLE
